id,history_item,visit_time,title,load_successful,http_non_get,synthesized,redirect_source,redirect_destination,origin,generation,attributes,score
25484,15266,2023-01-27 08:59:01.635488,,1,0,0,,25485.0,0,7009,0,100
25485,15267,2023-01-27 08:59:01.636541,Novedades en Ropa de Mujer| Moda Mujer | SHEIN España,1,0,0,25484.0,,0,7009,0,100
25486,15267,2023-01-27 08:59:02.327489,Novedades en Ropa de Mujer| Moda Mujer | SHEIN España,1,0,0,,,0,7009,3,0
25487,15268,2023-01-27 21:10:39.044021,,1,0,0,,25488.0,0,7010,0,100
25488,15269,2023-01-27 21:10:39.044726,Kyoka Restaurant,1,0,0,25487.0,,0,7010,0,100
25489,15270,2023-01-27 21:10:53.157762,,1,0,0,,25490.0,0,7010,0,100
25490,15271,2023-01-27 21:10:53.159509,Kyoka Parc Valles – Kyoka Restaurant,1,0,0,25489.0,,0,7010,0,100
25491,15272,2023-01-27 21:11:02.207073,,1,0,0,,,0,7010,0,100
25492,15272,2023-01-28 02:24:43.798915,,1,0,0,,,0,7011,0,100
25493,15273,2023-01-28 16:41:29.287927,estacion de sants - Buscar con Google,1,0,0,,,0,7011,0,100
25494,15273,2023-01-28 16:41:30.314088,estacion de sants - Buscar con Google,1,0,0,,,0,7011,3,0
25495,15274,2023-01-28 16:41:31.908453,estacion de sants - Buscar con Google,1,0,0,,,0,7011,1,0
25496,15273,2023-01-28 16:41:34.997551,estacion de sants - Buscar con Google,1,0,0,,,0,7011,2,0
25497,15275,2023-01-28 17:54:55.250788,No se puede abrir la página,0,0,0,,,0,7012,0,100
25498,15275,2023-01-28 17:55:36.671458,No se puede abrir la página,0,0,0,,,0,7012,3,0
25499,15275,2023-01-28 17:56:07.025487,lagrimas club madrid - Buscar con Google,1,0,0,,,0,7013,3,0
25500,15275,2023-01-28 17:56:19.003016,lagrimas club madrid - Buscar con Google,1,0,0,,,0,7013,3,0
25501,15275,2023-01-28 17:58:57.850827,lagrimas club madrid - Buscar con Google,1,0,0,,,0,7013,4,25
