Z_PK,Z_ENT,Z_OPT,ZKIND,ZMETADATA,ZTAG,ZHASPROCESS,ZBILLCYCLEEND,ZTIMESTAMP,ZWIFIIN,ZWIFIOUT,ZWWANIN,ZWWANOUT
167945,5,5,0,0,1,106,,2023-02-11 23:21:42.229708,0.0,0.0,48147.0,28998.0
167946,5,1,0,0,1,806,,2023-02-11 23:21:40.301881,0.0,0.0,528.0,253.0
167947,5,1,0,0,1,156,,2023-02-11 23:22:02.477727,0.0,0.0,14832.0,2741.0
167948,5,1,0,0,1,894,,2023-02-11 23:22:10.834742,0.0,0.0,17020.0,8334.0
167949,5,2,0,0,1,418,,2023-02-11 23:27:39.557647,0.0,0.0,8182.0,2583.0
167978,5,1,0,0,1,90,,2023-01-28 17:56:55.029615,0.0,0.0,740203419.0,145256779.0
167979,5,1,0,0,1,92,,2023-01-28 21:35:45.663213,0.0,0.0,339372.0,135431.0
168030,5,1,0,0,1,567,,2022-12-07 13:26:32.645752,0.0,0.0,1080538.0,263737.0
168037,5,1,0,0,1,779,,2023-01-28 19:27:53.297527,0.0,0.0,529828.0,226017.0
168038,5,1,0,0,1,780,,2023-01-28 19:28:03.351241,0.0,0.0,53481514.0,9191879.0
168039,5,1,0,0,1,781,,2023-01-28 19:30:20.139974,0.0,0.0,352533.0,190715.0
168044,5,1,0,0,1,812,,2023-01-28 21:35:47.057500,0.0,0.0,9459877.0,929805.0
168048,5,1,0,0,1,836,,2023-01-28 22:14:01.543441,0.0,0.0,1763919.0,567726.0
168053,5,1,0,0,1,852,,2023-01-28 23:01:09.922928,0.0,0.0,445655.0,194359.0
168071,5,1,0,0,1,907,,2023-01-28 16:30:15.716527,0.0,0.0,430179.0,121896.0
168072,5,1,0,0,1,913,,2023-01-28 16:51:11.195897,0.0,0.0,68385.0,21347.0
168075,5,1,0,0,1,926,,2022-12-27 14:22:45.454987,0.0,0.0,11204260484.0,174892438.0
168079,5,1,0,0,1,953,,2023-01-28 00:01:40.023768,0.0,0.0,356664.0,77346.0
168080,5,1,0,0,1,954,,2023-01-28 19:28:08.883984,0.0,0.0,268508.0,231496.0
168081,5,1,0,0,1,955,,2023-01-08 15:38:38.014127,0.0,0.0,35799296.0,4109838.0
168082,5,2,0,0,1,886,,2023-02-11 23:46:03.531195,0.0,0.0,19249.0,14615.0
168083,5,2,0,0,1,259,,2023-02-11 23:50:52.173247,0.0,0.0,2731.0,977.0
168084,5,2,0,0,1,873,,2023-02-11 23:59:23.048027,0.0,0.0,359372.0,14393.0
168085,5,3,0,0,1,260,,2023-02-12 00:00:15.938888,0.0,0.0,36586.0,14513.0
168086,5,14,0,0,1,392,,2023-02-12 00:53:42.013788,0.0,0.0,216670.0,33869.0
168087,5,2,0,0,1,91,,2023-02-12 02:26:05.465019,0.0,0.0,23814.0,18468.0
168088,5,7,0,0,1,70,,2023-02-12 02:32:52.003636,0.0,0.0,29404.0,12140.0
168089,5,8,0,0,1,54,,2023-02-12 02:34:24.921309,0.0,0.0,174673.0,30019.0
168090,5,1,0,0,1,857,,2023-02-12 03:04:26.728025,0.0,0.0,18158.0,11590.0
168091,5,1,0,0,1,870,,2023-02-12 03:10:05.169992,0.0,0.0,10864.0,2503.0
168092,5,1,0,0,1,902,,2023-02-12 03:14:08.243309,0.0,0.0,9475.0,4801.0
168093,5,1,0,0,1,901,,2023-02-12 03:14:07.245055,0.0,0.0,468.0,232.0
168094,5,17,0,0,1,221,,2023-02-12 03:46:50.214406,0.0,0.0,46905.0,57277.0
168095,5,62,0,0,1,811,,2023-02-12 08:51:26.148690,0.0,0.0,48727.0,51190.0
168096,5,11,0,0,1,46,,2023-02-12 09:22:06.659665,0.0,0.0,39530.0,9186.0
168097,5,168,0,0,1,73,,2023-02-12 09:25:09.433691,0.0,0.0,201099761.0,7757656.0
168098,5,88,0,0,1,44,,2023-02-12 09:26:16.357327,0.0,0.0,13889.0,10052.0
168099,5,6,0,0,1,48,,2023-02-12 09:32:13.411485,0.0,0.0,1044012.0,368730.0
168100,5,4,0,0,1,134,,2023-02-12 09:32:13.090167,0.0,0.0,5315.0,2519.0
168101,5,1,0,0,1,899,,2023-02-12 09:32:17.259954,0.0,0.0,9004.0,12560.0
168102,5,3,0,0,1,101,,2023-02-12 09:32:18.163678,0.0,0.0,13052.0,5537.0
168103,5,2,0,0,1,218,,2023-02-12 09:32:16.267066,0.0,0.0,5188.0,2865.0
168104,5,7,0,0,1,845,,2023-02-12 09:32:44.443545,0.0,0.0,61225.0,45602.0
168105,5,3,0,0,1,911,,2023-02-12 09:34:03.699475,0.0,0.0,481114.0,28429.0
168106,5,11,0,0,1,128,,2023-02-12 09:44:11.314410,0.0,0.0,6277.0,5366.0
168107,5,2,0,0,1,149,,2023-02-12 09:52:18.689165,0.0,0.0,819.0,280.0
168108,5,3,0,0,1,151,,2023-02-12 10:00:22.612132,0.0,0.0,17928.0,6557.0
168109,5,54,0,0,1,589,,2023-02-12 11:01:30.040655,0.0,0.0,4247739.0,1391135.0
168110,5,8,0,0,1,490,,2023-02-12 11:06:38.412259,0.0,0.0,1326897.0,255849.0
168111,5,6,0,0,1,489,,2023-02-12 11:06:38.205098,0.0,0.0,9102.0,4429.0
168112,5,5,0,0,1,872,,2023-02-12 11:06:43.302416,0.0,0.0,768847.0,157774.0
168113,5,2,0,0,1,544,,2023-02-12 11:06:42.097345,0.0,0.0,4705.0,3698.0
168114,5,3,0,0,1,373,,2023-02-12 12:01:36.528918,0.0,0.0,1183.0,502.0
168115,5,2,0,0,1,874,,2023-02-12 12:01:41.343300,0.0,0.0,14261.0,6634.0
168116,5,12,0,0,1,107,,2023-02-12 12:26:14.482269,0.0,0.0,145862.0,63140.0
168117,5,1,0,0,1,851,,2023-02-12 12:50:10.950899,0.0,0.0,564.0,193.0
168118,5,1,0,0,1,849,,2023-02-12 12:50:12.350844,0.0,0.0,16094.0,2258.0
168119,5,33,0,0,1,924,,2023-02-12 13:35:28.932700,0.0,0.0,35836.0,12251.0
168120,5,47,0,0,1,926,,2023-02-12 13:35:47.422360,0.0,0.0,206041412.0,2095552.0
168121,5,6,2,0,1,142,,2023-02-12 13:35:47.422360,0.0,0.0,10095314.0,108403.0
168122,5,50,0,0,1,925,,2023-02-12 13:35:49.911232,0.0,0.0,6018930.0,1024105.0
168123,5,5,0,0,1,248,,2023-02-12 14:54:20.835580,0.0,0.0,10981.0,4367.0
168124,5,74,0,0,1,55,,2023-02-12 14:57:49.219837,0.0,0.0,1151022.0,153452.0
168125,5,76,0,0,1,50,,2023-02-12 15:00:38.431042,0.0,0.0,29483.0,18472.0
168126,5,19,0,0,1,897,,2023-02-12 15:00:38.790663,0.0,0.0,156788.0,60192.0
168127,5,31,0,0,1,57,,2023-02-12 15:00:53.536197,0.0,0.0,219075.0,86494.0
168128,5,89,0,0,1,552,,2023-02-12 15:01:35.637863,0.0,0.0,102406.0,70738.0
168129,5,2,0,0,1,64,,2023-02-12 15:07:21.992649,0.0,0.0,1314.0,418.0
168130,5,9,0,0,1,197,,2023-02-12 15:07:22.717022,0.0,0.0,30854.0,10146.0
168131,5,5,0,0,1,87,,2023-02-12 15:07:23.082306,0.0,0.0,126958.0,50204.0
168132,5,3,0,0,1,86,,2023-02-12 15:07:22.006873,0.0,0.0,1912.0,609.0
168133,5,7,0,0,1,65,,2023-02-12 15:07:23.091873,0.0,0.0,129881.0,47475.0
168134,5,2,0,0,1,301,,2023-02-12 15:07:22.014167,0.0,0.0,184.0,120.0
168135,5,2,0,0,1,943,,2023-02-12 15:07:22.648244,0.0,0.0,10175.0,2234.0
168136,5,7,0,0,1,559,,2023-02-12 15:12:11.419894,0.0,0.0,1381.0,1009.0
168137,5,46,0,0,1,94,,2023-02-12 16:29:00.350802,0.0,0.0,1030406.0,114605.0
168138,5,46,0,0,1,43,,2023-02-12 16:29:00.501948,0.0,0.0,460955.0,123730.0
168139,5,20,0,0,1,588,,2023-02-12 16:34:06.835266,0.0,0.0,19091.0,9994.0
168140,5,3,0,0,1,830,,2023-02-12 16:34:09.785252,0.0,0.0,15454.0,4012.0
168141,5,7,0,0,1,837,,2023-02-12 16:34:09.836176,0.0,0.0,392116.0,113289.0
168142,5,12,0,0,1,798,,2023-02-12 16:36:29.021148,0.0,0.0,1901702.0,931706.0
168143,5,11,0,0,1,797,,2023-02-12 16:36:28.478054,0.0,0.0,11315.0,4815.0
168144,5,2,0,0,1,945,,2023-02-12 16:36:31.386854,0.0,0.0,17799.0,24737.0
168145,5,23,0,0,1,145,,2023-02-12 16:36:33.084952,0.0,0.0,137125.0,48384.0
168146,5,3,0,0,1,58,,2023-02-12 16:38:27.402181,0.0,0.0,20920.0,5419.0
168147,5,4,0,0,1,896,,2023-02-12 16:38:29.183889,0.0,0.0,44291.0,8206.0
168148,5,3,0,0,1,63,,2023-02-12 18:26:12.187269,0.0,0.0,790.0,460.0
168149,5,2,0,0,1,69,,2023-02-12 18:26:45.140950,0.0,0.0,19916.0,7829.0
168150,5,6,0,0,1,223,,2023-02-12 18:26:45.121670,0.0,0.0,720.0,288.0
168151,5,11,0,0,1,74,,2023-02-12 19:34:45.035111,0.0,0.0,95209.0,67912.0
168152,5,11,0,0,1,56,,2023-02-12 19:38:40.536623,0.0,0.0,3641.0,3064.0
168153,5,3,0,0,1,288,,2023-02-12 19:38:57.039788,0.0,0.0,9007.0,9864.0
168154,5,4,0,0,1,628,,2023-02-12 20:03:12.556138,0.0,0.0,5868.0,4728.0
168155,5,35,0,0,1,105,,2023-02-12 20:15:47.456908,0.0,0.0,175255.0,215762.0
168156,5,7,0,0,1,944,,2023-02-12 20:32:31.252147,0.0,0.0,1903820.0,39010.0
168157,5,3,0,0,1,93,,2023-02-12 20:38:55.077547,0.0,0.0,204064.0,19191.0
168158,5,2,0,0,1,92,,2023-02-12 20:38:53.743485,0.0,0.0,2142.0,802.0
168159,5,30,0,0,1,369,,2023-02-12 21:11:55.476422,0.0,0.0,561748.0,104673.0
168160,5,111,0,0,1,39,,2023-02-12 21:11:55.335786,0.0,0.0,309497.0,644435.0
168161,5,1,0,0,1,843,,2023-02-12 21:36:51.430473,0.0,0.0,16056.0,2166.0
168162,5,16,0,0,1,834,,2023-02-12 21:36:51.231114,0.0,0.0,120264.0,53864.0
168163,5,100,0,0,1,33,,2023-02-12 21:36:56.479124,0.0,0.0,92546.0,100066.0
168164,5,16,0,0,1,144,,2023-02-12 21:36:55.156397,0.0,0.0,221152.0,48129.0
